PID,Address,LotArea,FullBath,BedroomAbvGr,finishedsqft,DateSold,MoSold,YrSold,price,Neighborhood,totalrooms,BldgType,YrBuilt, zestimate ,zindexvalue,Zipcode,Longitude,Latitude
11057,1111 Bay St APT 303,3920,2,2,1154,7/31/2012,7,2012,675000,Marina,4,SingleFamily,1986,"1,706,588.00","2,157,700",94123,-122.425482,37.803838
11058,1887-1889 Lombard St,1716,4,5,2670,7/31/2012,7,2012,1195000,Cow Hollow,11,MultiFamily2To4,1907,"3,358,593.00","2,134,300",94123,-122.432449,37.800067
11059,1727 Mckinnon Ave,1919,1,3,768,5/24/2013,5,2013,389000,Bayview,4,SingleFamily,1885,"594,089.00","719,000",94124,-122.392117,37.737194
11060,1370 Palou Ave,2495,1.5,2,980,7/31/2012,7,2012,320000,Bayview,6,SingleFamily,1916,"657,702.00","719,000",94124,-122.386438,37.731748
11061,168 Lunado Ct,7496,3,4,2887,6/23/2015,6,2015,1680000,Ingleside Terrace,9,SingleFamily,1937,"2,148,005.00","1,621,200",94127,-122.470393,37.725522
11062,977-979 Duncan St,3388,4,7,3500,7/31/2012,7,2012,1680000,Diamond Heights,13,MultiFamily2To4,1963,"2,140,028.00","1,070,100",94131,-122.442336,37.744865
11063,357 Day St,2850,3,4,2156,7/31/2012,7,2012,1735000,Noe Valley,6,SingleFamily,1916,"2,302,259.00","1,751,900",94131,-122.430019,37.742445
11064,1925 Leavenworth St APT 4,3485,1,0,534,7/31/2012,7,2012,345000,Russian Hill,2,Condominium,1925,"604,346.00","1,608,800",94133,-122.417647,37.798817
11065,41 Telegraph Pl,788,2.5,2,2500,7/31/2012,7,2012,1900000,Telegraph Hill,6,SingleFamily,1907,"2,556,014.00","1,215,500",94133,-122.407352,37.802999
11066,42 Mill St,2495,2,3,1540,7/7/2005,7,2005,575500,Visitacion Valley,7,SingleFamily,1940,"872,668.00","690,400",94134,-122.406054,37.719156
11067,473 Gaven St,3485,2,3,1847,7/31/2012,7,2012,570000,Portola,6,SingleFamily,1999,"951,347.00","891,600",94134,-122.414397,37.731522
11068,1301 Indiana St UNIT 405,0,2,3,1463,7/16/2015,7,2015,1410000,Central Waterfront - Dogpatch,5,Condominium,2012,"1,440,060.00","1,124,600",94107,-122.390812,37.754439
11069,1280 Minnesota St APT 305,0,2,2,1589,9/23/2014,9,2014,1350000,Central Waterfront - Dogpatch,4,Condominium,2012,"1,669,310.00","1,124,600",94107,-122.389954,37.754346
11070,15 Nebraska St,2495,3,3,1610,12/27/2012,12,2012,791000,Bernal Heights,7,SingleFamily,1900,"1,082,527.00","1,214,400",94110,-122.410148,37.740886
11071,1806 19th Ave,2247,2,3,1575,7/30/2012,7,2012,550000,Inner Sunset,7,SingleFamily,1932,"983,264.00","1,348,400",94122,-122.476081,37.754045
